B10k_ID,Species_Name_Standard,Realm_fixed,realm_all
B10K-DU-002-19,Sylvia_borin,Palearctic,Palearctic
B10K-DU-002-20,Certhia_brachydactyla,Palearctic,Palearctic Saharo-Arabian
B10K-DU-002-22,Paradisaea_raggiana,Oceanina,Oceanina
B10K-DU-002-23,Bombycilla_garrulus,Nearctic,Nearctic Palearctic
B10K-DU-002-24,Oriolus_oriolus,Palearctic,Palearctic Saharo-Arabian
B10K-DU-002-25,Sitta_europaea,Palearctic,Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-002-26,Rhadina_sibilatrix,Palearctic,NA
B10K-DU-002-28,Larus_smithsonianus,Nearctic,Nearctic Palearctic
B10K-DU-002-30,Cisticola_juncidis,Sino-Japanese,Australian Afrotropical Oceanina Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-002-32,Phainopepla_nitens,Nearctic,Nearctic
B10K-DU-002-35,Rhinopomastus_cyanomelas,Afrotropical,Afrotropical
B10K-DU-002-36,Rhinoptilus_africanus,Afrotropical,Afrotropical Saharo-Arabian
B10K-DU-002-37,Tricholaema_leucomelas,Afrotropical,Afrotropical
B10K-DU-002-40,Nicator_chloris,Afrotropical,Afrotropical
B10K-DU-002-42,Pycnonotus_jocosus,Nearctic,Oriental Sino-Japanese
B10K-DU-002-43,Leiothrix_lutea,Nearctic,Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-002-46,Scytalopus_superciliaris,Neotropical,Neotropical
B10K-DU-002-47,Thinocorus_orbignyianus,Neotropical,Neotropical
B10K-DU-002-48,Fregata_magnificens,Nearctic,NA
B10K-DU-002-49,Sula_dactylatra,Nearctic,Australian Oceanina Oriental Sino-Japanese
B10K-DU-002-50,Vidua_macroura,Afrotropical,Afrotropical
B10K-DU-002-51,Eurystomus_gularis,Afrotropical,Afrotropical
B10K-DU-002-52,Peucedramus_taeniatus,Nearctic,Nearctic Panamanian
B10K-DU-002-53,Pitta_sordida,Oriental,Oceanina Oriental Sino-Japanese
B10K-DU-002-55,Calyptomena_viridis,Oriental,Oriental
B10K-DU-002-56,Dryoscopus_gambensis,Afrotropical,Afrotropical
B10K-DU-002-57,Chloropsis_cyanopogon,Oriental,Oriental
B10K-DU-002-58,Erpornis_zantholeuca,Oriental,Oriental Sino-Japanese
B10K-DU-002-59,Jacana_jacana,Panamanian,Neotropical Panamanian
B10K-DU-002-60,Erythrocercus_mccallii,Afrotropical,
B10K-DU-002-69,Todus_mexicanus,Panamanian,
B10K-DU-002-70,Scopus_umbretta,Afrotropical,Madagascan Afrotropical Saharo-Arabian
B10K-DU-002-71,Pomatostomus_ruficeps,Australian,Australian
B10K-DU-002-79,Neodrepanis_coruscans,Madagascan,Madagascan
B10K-DU-002-81,Oxylabes_madagascariensis,Madagascan,Madagascan
B10K-DU-002-82,Mystacornis_crossleyi,Madagascan,Madagascan
B10K-DU-002-83,Hypocryptadius_cinnamomeus,Oriental,Oriental
B10K-DU-003-06,Furnarius_figulus,Neotropical,Neotropical
B10K-DU-003-16,Mionectes_macconnelli,Neotropical,Neotropical
B10K-DU-003-42,Syrrhaptes_paradoxus,Palearctic,Palearctic Sino-Japanese
B10K-DU-003-44,Crotophaga_sulcirostris,Panamanian,Nearctic Neotropical Panamanian
B10K-DU-004-15,Neopipo_cinnamomea,Neotropical,Neotropical
B10K-DU-005-01,Nyctiprogne_leucopyga,Neotropical,Neotropical Panamanian
B10K-DU-005-73,Arenaria_interpres,Panamanian,Nearctic Palearctic
B10K-DU-005-78,Herpetotheres_cachinnans,Panamanian,Nearctic Neotropical Panamanian
B10K-DU-006-06,Alopecoenas_beccarii,Oceanina,NA
B10K-DU-006-09,Fregetta_grallaria,Oceanina,NA
B10K-DU-006-20,Rostratula_benghalensis,Oriental,Madagascan Australian Afrotropical Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-007-02,Piprites_chloris,Neotropical,Neotropical Panamanian
B10K-DU-007-40,Trogon_melanurus,Neotropical,Neotropical Panamanian
B10K-DU-007-42,Spizaetus_tyrannus,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-008-47,Piaya_cayana,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-008-62,Chordeiles_acutipennis,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-008-63,Glaucidium_brasilianum,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-009-04,Podilymbus_podiceps,Neotropical,Nearctic Neotropical Panamanian
B10K-DU-009-16,Phaetusa_simplex,Neotropical,Neotropical Panamanian
B10K-DU-009-59,Sylvietta_virens,Afrotropical,Afrotropical
B10K-DU-010-60,Circaetus_pectoralis,Afrotropical,Afrotropical Saharo-Arabian
B10K-DU-011-20,Corythaixoides_concolor,Afrotropical,Afrotropical
B10K-DU-011-36,Chauna_torquata,Neotropical,Neotropical
B10K-DU-011-38,Sagittarius_serpentarius,Afrotropical,Afrotropical Saharo-Arabian
B10K-DU-011-42,Anthoscopus_minutus,Afrotropical,Afrotropical
B10K-DU-011-47,Zapornia_atra,Oceanina,NA
B10K-DU-012-02,Buphagus_erythrorhynchus,Afrotropical,Afrotropical
