ID,DC1_coef,DC1_p_value,DC1_sample_size,DC1_response,DC1_Ne_direction,IN1_coef,IN1_p_value,IN1_sample_size,IN1_response,IN1_Ne_direction
B10K-DU-001-44,0.878338739,7.86E-09,25,Pos,decrease,-0.970588324,4.28E-15,24,Neg,decrease
B10K-DU-001-45,-0.882903212,2.29E-11,32,Neg,increase,0.859360393,2.39E-09,29,Pos,increase
B10K-DU-001-46,0.851312152,2.49E-09,30,Pos,decrease,-0.957207844,1.61E-15,28,Neg,decrease
B10K-DU-001-47,-0.902519127,9.36E-12,30,Neg,increase,0.812028422,2.72E-07,27,Pos,increase
B10K-DU-001-53,0.875120176,1.04E-08,25,Pos,decrease,-0.971197338,4.34E-17,27,Neg,decrease
B10K-DU-001-55,-0.847222145,1.30E-08,28,Neg,increase,0.115326681,0.574791169,26,No,not_significant
B10K-DU-001-56,-0.71334829,0.000282968,21,Neg,increase,-0.946658409,8.58E-11,21,Neg,decrease
B10K-DU-001-57,-0.486887533,0.029468444,20,No,not_significant,0.96453923,1.90E-12,21,Pos,increase
B10K-DU-001-60,0.677363185,0.002013034,18,Pos,decrease,0.98194983,9.84E-14,19,Pos,increase
B10K-DU-001-61,0.832438921,1.34E-07,26,Pos,decrease,-0.915275141,5.83E-11,26,Neg,decrease
B10K-DU-001-62,-0.465651182,0.007235642,32,No,not_significant,0.969554624,1.20E-18,30,Pos,increase
B10K-DU-001-63,0.879056476,3.63E-11,32,Pos,decrease,-0.952618019,1.76E-15,29,Neg,decrease
B10K-DU-001-64,-0.809107305,1.08E-07,29,Neg,increase,0.889883233,5.29E-10,27,Pos,increase
B10K-DU-001-66,-0.757753874,4.42E-05,22,Neg,increase,-0.93720542,1.33E-10,22,Neg,decrease
B10K-DU-001-67,0.87427665,4.98E-08,23,Pos,decrease,-0.952086592,2.52E-13,25,Neg,decrease
B10K-DU-001-68,-0.88009594,6.77E-10,28,Neg,increase,0.81853658,1.82E-07,27,Pos,increase
B10K-DU-001-69,-0.83944908,1.26E-08,29,Neg,increase,-0.876812429,9.43E-10,28,Neg,decrease
B10K-DU-001-70,-0.867653015,1.96E-08,25,Neg,increase,0.979546894,1.62E-17,25,Pos,increase
B10K-DU-001-71,-0.896232742,1.69E-08,22,Neg,increase,0.980228015,1.52E-15,22,Pos,increase
