species,family,order,unsexed_mass,b_brain_size,clutch_size,egg_mass,maximum_longevity_y,mortality_both,inc_duration,min_elevation,max_elevation,range_size_km2,migration,bill_total_culmen,bill_nares,bill_width,bill_depth,tarsus_length,kipps_distance,wing_chord,hand_wing_index,threat_status
Certhia_brachydactyla,Certhiidae,Passeriformes,8.2,NA,5.9,1.16,5.75,NA,NA,0,2375,56900,1,17.57,11.075,2.025,2.575,14.83,10.825,60.7,17.67567865,LC
Certhia_familiaris,Certhiidae,Passeriformes,9,0.38984736,5.175,1.14,8.2,0.56,14.5,0,3000,234100,1,15.75,10.275,1.9,2.7,14.7,12.075,63.375,19.04136376,LC
Cettia_cetti,Sylviidae,Passeriformes,13.4,NA,4.7,1.8,7.6,NA,16.5,0,2450,84600,1,13.65,7.625,2.425,2.875,20.875,7.375,57.625,12.83024518,LC
Ceuthmochares_aereus,Cuculidae,Cuculiformes,65.8,1.33,2.4,8.6,NA,NA,NA,10,2300,49300,1,27.575,19.85,9.95,10.5,27.625,15.825,118.25,13.40220511,LC
Ceyx_cyanopectus,Alcedinidae,Coraciiformes,21.5,NA,NA,NA,NA,NA,NA,0,1500,3500,1,39.52857143,30.275,6.2,7.575,9.775,14.5,58.14285714,24.67928112,LC
Chaetops_frenatus,Turdidae,Passeriformes,55.1,NA,2,5.94,NA,NA,NA,50,3000,1500,1,24.1,13,3.733333333,4.933333333,34.625,10.3,86.375,11.81693808,LC
Chaetorhynchus_papuensis,Dicruridae,Passeriformes,37.5,0.91,NA,4.9,NA,NA,NA,300,2150,6700,1,20.34,10.65,5,7.625,18.95,23.65,105.9,22.60211438,LC
Chaetura_pelagica,Apodidae,Caprimulgiformes,23.6,0.46,4.1,1.92,15,NA,20,0,1200,65400,3,5.75,3.55,2.825,2.4,11.725,86.85,123.5,70.32475678,NT
Charadrius_alexandrinus,Charadriidae,Charadriiformes,42.3,0.895,3,9,19,0.365,26.3,0,330,148400,2,16.275,10.85,2.975,3.15,26.625,59.25,107.75,54.98527271,LC
Charadrius_vociferus,Charadriidae,Charadriiformes,96.6,1.175,4,14.5,10.92,0.619,25.1,0,2835,186200,3,21.525,13.125,3.55,4.175,34.375,83.5,158.75,52.61916019,LC
Chauna_torquata,Anhimidae,Anseriformes,4400,NA,3.9,160,NA,NA,44.5,0,1150,33600,1,46.7,21.85,13.975,15.55,125.875,184,521.75,35.29093042,LC
Chionis_minor,Chionidae,Charadriiformes,469,3.401,2.2,43.1,NA,NA,28.7,15,15,1100,2,33.55,22.575,8.575,14.5,46.325,81.1,226.25,35.82093263,LC
Chlamydotis_macqueenii,Otididae,Otidiformes,1555,NA,2.5,68,15,NA,24,5,1800,25800,1,44.2675,24.3675,11.02,9.3125,90.7525,163.845,378.31,43.3228056,VU
Chloroceryle_aenea,Alcedinidae,Coraciiformes,12.7,NA,3.5,2.4,NA,NA,NA,0,750,85200,1,31.3,24,4.96,6.44,7.9,13.6,56,24.23377535,LC
Chlorodrepanis_virens,Fringillidae,Passeriformes,13.7,NA,NA,NA,NA,NA,NA,1500,2900,500,1,20.42,11.35,3.775,4.575,22.02,13.15,66.6,20.86939426, NA
Chloropsis_cyanopogon,Chloropseidae,Passeriformes,22,NA,NA,NA,NA,NA,NA,10,1100,17100,1,18.68333333,12.8,4.2,5,19.11666667,14.86666667,83,17.76929686,NT
Chloropsis_hardwickii,Chloropseidae,Passeriformes,32.8,0.734,2.4,NA,NA,NA,NA,70,3000,29700,3,24.8,14.9,4.525,5.325,17.575,18.075,92.75,19.49529362,LC
Chordeiles_acutipennis,Caprimulgidae,Caprimulgiformes,49.9,NA,1.8,6,NA,NA,18.5,0,2500,75000,2,8.875,4.225,3.45,2.25,11.775,92.475,167.5,55.12618294,LC
Chroicocephalus_maculipennis,Laridae,Charadriiformes,339,3.25,2.4,NA,NA,NA,NA,0,1200,25700,1,39.75,16.625,4.425,8.85,42.025,159,288.25,55.1644512,LC
Chunga_burmeisteri,Cariamidae,Cariamiformes,1298,NA,NA,NA,NA,NA,NA,0,900,8400,1,59.225,29.45,14.125,16.15,144,32.1,300.3333333,10.68658257,LC
Ciccaba_nigrolineata,Strigidae,Strigiformes,458.5,7.316,1.4,NA,NA,NA,NA,0,2550,13400,1,36.65,18.4,8.975,15.975,47.4,72.45,255,28.47630688,LC
Ciconia_maguari,Ciconiidae,Ciconiiformes,4000,NA,2.8,NA,20.4,NA,30.5,0,1400,78400,2,248.5,182.3333333,26.6,35.425,258.25,248.25,576.5,43.17250411,LC
Cinclus_mexicanus,Cinclidae,Passeriformes,57.8,1.4,3.7,4.38,7.25,NA,NA,0,3500,42200,1,21.3,11.7,3.375,4.775,29.4,23.6,88.875,26.52097699,LC
Circaetus_pectoralis,Accipitridae,Accipitriformes,1500,NA,1,136,17.3,NA,51.5,0,3400,84500,1,46.475,33.75,14.75,23.275,83.075,229,532.5,43.01824234,LC
Cisticola_juncidis,Cisticolidae,Passeriformes,6.9,NA,3.8,1.09,NA,NA,13,0,1900,243700,3,11.1,6.775,2.1,2.55,17.525,6.45,49,13.1297954,LC
Climacteris_rufus,Climacteridae,Passeriformes,32.7,1.025,2.2,4.18,NA,NA,17,100,1150,6000,1,19.87,10.425,3.275,3.425,23.29,24.6,89.1,27.50774323,LC
Cnemophilus_loriae,Cnemophilidae,Passeriformes,83.5,1.85,NA,NA,NA,NA,25,1800,2400,3000,1,24.375,11.675,6.125,5.6,38.35,4.65,99.75,4.670825753,LC
Cochlearius_cochlearius,Ardeidae,Pelecaniformes,645,NA,2.8,34,NA,NA,NA,0,900,107000,1,87.225,65.9,44.075,29.325,78.025,77.525,274.5,28.25724689,LC
